구분	코드	수가명	금액
외래	E7151	알레르겐피부반응검사	43000
입원	BREV	제일브레비블록주100밀리그람(염산에스몰롤)	4000
외래	G1501	Ear Series 1매	5000
입원	G1501	Ear Series 1매	5000
입원	OTROI	오트론주(온단세트론염산염수화물)_(5mg/2ml) 급여	5000
입원	REMIVA	(마)레미바주1밀리그램(레미펜타닐염산염)_(1.1mg/1병)	7000
외래	G1002	비골 2 매	7000
외래	G1802	경부연부조직2매	7000
입원	SSY	싸이신주사200밀리그람(시프로플록사신) 급여일동제약(주)	7000
외래	DEXM2X	(비급여)가글용덱사*생리식염수	7000
입원	TRIA	트리악손주사1그램(세프트리악손나트륨수화물)_(1g/1병)(Type1) 급여한미약품(주)	8000
외래	G2101	흉부[직접] 1매 P	8000
외래	G1203	부비동3매	8000
입원	G1203	부비동3매	8000
외래	G1203	부비동3매	9000
입원	E7240	경피적 혈액산소분압측정 [1일당]	9000
외래	E7240	경피적 혈액산소분압측정 [1일당]	9000
외래	ACUPAN	(비급여)아큐판주사액(염산네포팜)2mL	9000
외래	E6541	심전도검사 - EKG [portable]	10000
입원	E6541	심전도검사 - EKG [portable]	10000
외래	E6541	심전도검사 - EKG [portable]	10000
외래	F6347	순음청력계기에의한검사-간별역치검사	10000
입원	G2102	흉부[직접]2매 P	11000
외래	G2102	흉부[직접]2매 P	11000
외래	G2102	흉부[직접]2매 P	11000
외래	FLUM	(본.부)플루닐주사(플루마제닐)	13000
입원	FLUM	(본.부)플루닐주사(플루마제닐)	13000
입원	FLUM	(본.부)플루닐주사(플루마제닐)	13000
외래	F6310	평형기능검사[직립및편의검사]	13000
외래	F63611	이관기능검사(나636기준)	13000
입원	F6361	고막운동성계측	13000
외래	F6361	고막운동성계측	13000
입원	E7540	비인강경검사	15000
외래	E7540	비인강경검사	15000
외래	F6362	등골근반사검사	15000
외래	F0342	음장검사-음장역치검사[편측]	16000
입원	E7550	부비강입구부경검사	16000
입원	E7550	부비강입구부경검사	16000
외래	E7550	부비강입구부경검사	16000
외래	F6323	평형기능검사[Frenzel안경안진검사]-두진후안진검사	17000
외래	F0344	음장검사-음장어음검사[편측]	17000
외래	E7530	후열부경검사	18000
입원	F6346	이명도검사	20000
외래	F6346	이명도검사	20000
외래	EB414X3	(비급여)두경부-경부 초음파-갑상선·부갑상선	20000
외래	MASIINJ	(비급여)마시주사10%(황산마그네슘수화물) 5ml	20000
외래	MASIINJ	(비급여)마시주사10%(황산마그네슘수화물) 5ml	20000
외래	MASIINJ	(비급여)마시주사10%(황산마그네슘수화물) 5ml	20000
외래	PYRID	(비급여)휴온스피리독신염산염주사액 1ml	20000
