[ 평일 오전 ]
08:55(병원) → 09:00(역삼) → 병원
09:10(병원) → 09:15(역삼) → 병원
09:25(병원) → 09:30(역삼) → 병원
09:40(병원) → 09:45(역삼) → 병원
09:55(병원) → 10:00(역삼) → 병원
10:10(병원) → 10:15(역삼) → 병원
10:25(병원) → 10:30(역삼) → 병원
10:40(병원) → 10:45(역삼) → 병원
10:55(병원) → 11:00(역삼) → 병원
11:10(병원) → 11:15(역삼) → 병원
11:25(병원) → 11:30(역삼) → 병원
11:40(병원) → 11:45(역삼) → 병원
11:55(병원) → 12:00(역삼) → 병원
12:10(병원) → 12:15(역삼) → 병원
12:25(병원) → 12:30(역삼) → 병원
[ 평일 오후 ]
01:40(병원) → 01:45(역삼) → 병원
01:55(병원) → 02:00(역삼) → 병원
02:10(병원) → 02:15(역삼) → 병원
02:25(병원) → 02:30(역삼) → 병원
02:40(병원) → 02:45(역삼) → 병원
02:55(병원) → 03:00(역삼) → 병원
03:10(병원) → 03:15(역삼) → 병원
03:25(병원) → 03:30(역삼) → 병원
03:40(병원) → 03:45(역삼) → 병원
03:55(병원) → 04:00(역삼) → 병원
04:10(병원) → 04:15(역삼) → 병원
04:25(병원) → 04:30(역삼) → 병원
04:40(병원) → 04:45(역삼) → 병원
04:55(병원) → 05:00(역삼) → 병원
05:10(병원) → 05:15(역삼) → 병원
05:25(병원) → 05:30(역삼) → 병원
05:40(병원) → 05:45(역삼) → 병원

[토요일 셔틀버스]
08:55(병원) → 09:00(역삼) → 병원
09:25(병원) → 09:30(역삼) → 병원
09:55(병원) → 10:00(역삼) → 병원
10:25(병원) → 10:30(역삼) → 병원
10:55(병원) → 11:00(역삼) → 병원
11:25(병원) → 11:30(역삼) → 병원
11:55(병원) → 12:00(역삼) → 병원
12:25(병원) → 12:30(역삼) → 병원
12:55(병원) → 01:00(역삼) → 병원
